feature,mean_abs_shap
general_health_rating,0.4925027
age_group,0.48613554
high_bp,0.47752827
bmi_category,0.31159607
high_cholesterol,0.29488105
race,0.13674098
sex,0.1100916
physical_activity,0.102354184
poor_mental_health_days,0.08783305
income_level,0.08683261
kidney_disease_history,0.08061714
heart_disease_history,0.07770971
employment_status,0.071520895
heavy_alcohol_use,0.066262215
education_level,0.0628202
smoking_status,0.03582193
poor_physical_health_days,0.034045044
depression_diagnosed,0.029318646
stroke_history,0.022863692
health_plan,0.012706961
marital_status,0.011378359
cost_barrier_to_care,0.0065027694
