feature,imp_male,imp_female,rank_male,rank_female,delta_rank,delta_imp,max_imp
heavy_alcohol_use,0.066262215,0.08052696,14.0,12.0,-2.0,-0.0142647475,0.08052696
education_level,0.0628202,0.06978118,15.0,13.0,-2.0,-0.006960973,0.06978118
employment_status,0.071520895,0.062313274,13.0,15.0,2.0,0.009207621,0.071520895
heart_disease_history,0.07770971,0.06668451,12.0,14.0,2.0,0.011025205,0.07770971
income_level,0.08683261,0.09208788,10.0,9.0,-1.0,-0.005255267,0.09208788
poor_mental_health_days,0.08783305,0.09046767,9.0,10.0,1.0,-0.0026346222,0.09046767
high_bp,0.47752827,0.4988704,3.0,2.0,-1.0,-0.021342129,0.4988704
age_group,0.48613554,0.4034099,2.0,3.0,1.0,0.082725644,0.48613554
kidney_disease_history,0.08061714,0.08186725,11.0,11.0,0.0,-0.0012501106,0.08186725
poor_physical_health_days,0.034045044,0.035943337,17.0,17.0,0.0,-0.0018982925,0.035943337
general_health_rating,0.4925027,0.5178717,1.0,1.0,0.0,-0.025368989,0.5178717
physical_activity,0.102354184,0.10551212,8.0,8.0,0.0,-0.003157936,0.10551212
sex,0.1100916,0.124141805,7.0,7.0,0.0,-0.014050208,0.124141805
smoking_status,0.03582193,0.038524315,16.0,16.0,0.0,-0.0027023852,0.038524315
bmi_category,0.31159607,0.38879636,4.0,4.0,0.0,-0.07720029,0.38879636
high_cholesterol,0.29488105,0.32660097,5.0,5.0,0.0,-0.031719923,0.32660097
race,0.13674098,0.14888072,6.0,6.0,0.0,-0.012139738,0.14888072
